origin,destination,dist_km,total_veh,n_av,n_normal,av_fraction,scenario,E_eff,ground_max,domain_max,ground_mean
2122,2124,3.035840126,733.333333333333,486.89952177448,246.433811558853,0.663953893328837,No Policy,8.51067940333034e-10,5.82817022017031e-09,5.82817022017031e-09,3.77675152443344e-09
2122,2125,2.394128776,329562.794520548,218814.500518249,110748.294002299,0.663953893328837,No Policy,3.82473175558639e-07,2.61920190641013e-06,2.61920190641013e-06,1.69728652718458e-06
2124,2121,2.549820527,329460.432432432,218746.536811316,110713.895621117,0.663953893328837,No Policy,3.82354379524774e-07,2.61838838321882e-06,2.61838838321882e-06,1.69675935058594e-06
2124,2122,3.035840126,733.333333333333,486.89952177448,246.433811558853,0.663953893328837,No Policy,8.51067940333034e-10,5.82817022017031e-09,5.82817022017031e-09,3.77675152443344e-09
2124,2126,2.271222943,329538.030769231,218798.058529149,110739.972240082,0.663953893328837,No Policy,3.824444360566e-07,2.61900509637654e-06,2.61900509637654e-06,1.69715899099975e-06
2125,2118,2.750825735,412.653411609838,273.982839233779,138.670572376059,0.663953893328837,No Policy,4.78903757850252e-10,3.27956498835837e-09,3.27956498835837e-09,2.12521282003652e-09
2125,2119,2.563154726,471.637128832528,313.145307926791,158.491820905737,0.663953893328837,No Policy,5.47357145209208e-10,3.74833836680232e-09,3.74833836680232e-09,2.42898578904227e-09
2125,2121,2.709846204,932.295329512081,619.001113761837,313.294215750244,0.663953893328837,No Policy,1.0819727261863e-09,7.4094216489084e-09,7.4094216489084e-09,4.80142882766853e-09
2125,2122,2.394128776,439999.417819986,292139.326524001,147860.091295985,0.663953893328837,No Policy,5.10640088552441e-07,3.49689750522369e-06,3.49689750522369e-06,2.26604791636562e-06
2125,2127,2.505750037,251.030637164988,166.672768890512,84.3578682744756,0.663953893328837,No Policy,2.91332900907949e-10,1.99506720528458e-09,1.99506720528458e-09,1.29283682944414e-09
2126,2124,2.271222943,330155.725349755,219208.179250776,110947.546098979,0.663953893328837,No Policy,3.83161299767148e-07,2.62391422704841e-06,2.62391422704841e-06,1.70034018956607e-06
2126,2130,4.155079203,561.117603134655,372.5562172166,188.561385918056,0.663953893328837,No Policy,6.51203458342391e-10,4.45948486991282e-09,4.45948486991282e-09,2.88982058594352e-09
2126,2131,2.715138703,807.301784094474,536.011162640842,271.290621453632,0.663953893328837,No Policy,9.36911818113365e-10,6.4160348410224e-09,6.4160348410224e-09,4.15769760512269e-09
2126,2136,2.368,330155.725349755,219208.179250776,110947.546098979,0.663953893328837,No Policy,3.83161299767148e-07,2.62391422704841e-06,2.62391422704841e-06,1.70034018956607e-06
2127,2110,2.811209001,235.741895476625,156.521749322425,79.2201461542001,0.663953893328837,No Policy,2.73589594682041e-10,1.87355985663186e-09,1.87355985663186e-09,1.21409804061023e-09
2127,2111,2.385681299,352.595951417004,234.107454715305,118.488496701699,0.663953893328837,No Policy,4.09204241103049e-10,2.80225803245617e-09,2.80225803245617e-09,1.81590995048622e-09
2127,2118,2.627991548,468.929277348294,311.347419391278,157.581857957016,0.663953893328837,No Policy,5.44214555774551e-10,3.72681770400996e-09,3.72681770400996e-09,2.41504004055905e-09
2127,2125,2.505750037,458.347308320227,304.321479856008,154.025828464219,0.663953893328837,No Policy,5.31933681339935e-10,3.6427174538825e-09,3.6427174538825e-09,2.36054167557052e-09
2127,2210,1.386892182,659690.130503596,438003.830538471,221686.299965125,0.663953893328837,No Policy,7.6560152812599e-07,5.24289050882907e-06,5.24289050882907e-06,3.39748050822702e-06
2128,2110,3.397016429,658910.987260137,437486.515348516,221424.471911621,0.663953893328837,No Policy,7.64697295623124e-07,5.2366982641262e-06,5.2366982641262e-06,3.39346783036454e-06
2129,2113,1.708088604,264274.747276829,175466.247362945,88808.4999138839,0.663953893328837,No Policy,3.06703315700351e-07,2.10032483457524e-06,2.10032483457524e-06,1.36104552906412e-06
2130,2115,3.902644454,349.768699398312,232.230289730073,117.538409668239,0.663953893328837,No Policy,4.0592308171348e-10,2.77978843333764e-09,2.77978843333764e-09,1.8013492754341e-09
2130,2119,2.96757456,385.970807868322,256.266820595449,129.703987272873,0.663953893328837,No Policy,4.47937337019778e-10,3.06750486582712e-09,3.06750486582712e-09,1.98779432318658e-09
2130,2120,2.994964442,132395.327950821,87904.3934514958,44490.9344993252,0.663953893328837,No Policy,1.53651026002939e-07,1.05221251043544e-06,1.05221251043544e-06,6.81851259090174e-07
2130,2121,2.378980882,643.901576466647,427.520958615606,216.380617851041,0.663953893328837,No Policy,7.47278166082723e-10,5.11741089911403e-09,5.11741089911403e-09,3.31616762796205e-09
