"year","A","C","I","pct_AV","adoption","r","s","i","scenario"
27,45589556.7254648,219319347.650461,0.824759137180281,0.207868376474121,0.24,10000,2000,0.05,"High Rebates"
28,45998287.7546823,218966993.314929,0.833521180321267,0.210069504350025,0.24,10000,2000,0.05,"High Rebates"
29,46378407.6118545,218639303.782884,0.841845121305204,0.212122920304895,0.24,10000,2000,0.05,"High Rebates"
30,46731919.0790247,218334552.518082,0.849752865239944,0.214038128825965,0.24,10000,2000,0.05,"High Rebates"
0,1e+07,2.5e+08,0.3,0.04,0,5000,2000,0.15,"Infra Focus"
1,12900000,247500000,0.435,0.0521212121212121,0.24,5000,2000,0.15,"Infra Focus"
2,15597000,245175000,0.56325,0.0636157846436219,0.24,5000,2000,0.15,"Infra Focus"
3,18105210,243012750,0.6850875,0.0745031279223004,0.24,5000,2000,0.15,"Infra Focus"
4,20437845.3,241001857.5,0.800833125,0.0848036837226452,0.24,5000,2000,0.15,"Infra Focus"
5,22607196.129,239131727.475,0.91079146875,0.0945386727545949,0.24,5000,2000,0.15,"Infra Focus"
6,24624692.39997,237392506.55175,1,0.10372986391886,0.24,5000,2000,0.15,"Infra Focus"
7,26500963.9319721,235775031.093127,1,0.112399365654222,0.24,5000,2000,0.15,"Infra Focus"
8,28245896.456734,234270778.916608,1,0.120569439293103,0.24,5000,2000,0.15,"Infra Focus"
9,29868683.7047627,232871824.392446,1,0.128262333937087,0.24,5000,2000,0.15,"Infra Focus"
10,31377875.8454293,231570796.684975,1,0.135500142049929,0.24,5000,2000,0.15,"Infra Focus"
11,32781424.5362492,230360840.917026,1,0.142304674725757,0.24,5000,2000,0.15,"Infra Focus"
12,34086724.8187118,229235582.052835,1,0.148697355416907,0.24,5000,2000,0.15,"Infra Focus"
13,35300654.081402,228189091.309136,1,0.15469913079052,0.24,5000,2000,0.15,"Infra Focus"
14,36429608.2957038,227215854.917497,1,0.160330397317263,0.24,5000,2000,0.15,"Infra Focus"
15,37479535.7150045,226310745.073272,1,0.165610942170996,0.24,5000,2000,0.15,"Infra Focus"
